establecimiento_nro_registro;establecimiento_denominacion;direccion;establecimiento_tipo;fabricante_tipo_codigo;fabricante_tipo_desc
EA00900;Audicost Leganés, S.L.;Calle Santa Isabel, Nº 1  28911, Leganés (Madrid);Establecimientos de audioprótesis;;
EA00901;Instituto Integral Audiologico, S.L.;Calle De Canillas, Nº 21  28002, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00902;Farmacia Saul Medina Izquierdo;Avenida Juan Carlos I, Nº 15  28229, Villanueva Del Pardillo (Madrid);Establecimientos de audioprótesis;;
EA00903;Optica Copac;Avenida De Vicálvaro, Nº 14  28223, Coslada (Madrid);Establecimientos de audioprótesis;;
EA00904;Amplifon Iberica, S.A.U.;Calle Batalla De Bailén, Nº 1, Piso/Puerta Bajo  28400, Collado Villalba (Madrid);Establecimientos de audioprótesis;;
EA00905;Masvision Grupo Optico, S.A.;Calle De Fuencarral, Nº 121  28010, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00906;Cevimaga, Sl;Calle Real, Nº 41  28691, Villanueva De La Cañada (Madrid);Establecimientos de audioprótesis;;
EA00907;Vista Actualmioptico Palacio De Hielo;Calle De Silvano, Nº 77  28043, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00908;Amplifon Iberica, S.A.U.;Avenida Del Mediterráneo, Nº 34  28007, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00909;Centro Óptico Ruiseñor, C.B.;Calle De Palomeras, Nº 39  28053, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00910;Amplifon Iberica, S.A.;Plaza De Juan De Malasaña, Nº 5  28031, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00911;Amplifon Iberica, S.A.;Calle De José Abascal, Nº 63, Piso/Puerta Ent  28003, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00912;Amplifon Iberica, S.A.;Avenida Europa, Nº 10  28224, Pozuelo De Alarcón (Madrid);Establecimientos de audioprótesis;;
EA00913;Amplifon Iberica, S.A.;Avenida Del Dos De Mayo, Nº 50  28934, Móstoles (Madrid);Establecimientos de audioprótesis;;
EA00914;General Optica, S.A.;Calle De Antonio López, Nº 109, Piso/Puerta PB 32  28026, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00915;Amplifon Iberica, S.A.;Avenida De Donostiarra, Nº 19  28027, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00917;Amplifon Iberica, S.A.U.;Plaza Ventura Rodríguez, Nº 3  28911, Leganés (Madrid);Establecimientos de audioprótesis;;
EA00918;Dalaos Vision,S.L.;Avenida De Europa, Nº 14  28943, Fuenlabrada (Madrid);Establecimientos de audioprótesis;;
EA00920;Optica Tess;Calle De Guzmán El Bueno, Nº 61  28015, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00921;Lázaro Visión, S.L.;Calle Del Doctor Esquerdo, Nº 209  28007, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00922;Audicost, S.L.;Calle De Antonio López, Nº 109-111  28026, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00923;Farmacia Optica Enrique Areses;Calle De La Pilarica, Nº 80  28026, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00924;Amplifon Iberica, S.A.;Calle De Nuestra Señora De Valverde, Nº 57  28034, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00925;Gomez Gonzalez Audiologos, S.L.;Calle Del Gobernador, Nº 69  28300, Aranjuez (Madrid);Establecimientos de audioprótesis;;
EA00926;Jose Carlos Sanchez, S.L;Calle Del Real, Nº 24  28770, Colmenar Viejo (Madrid);Establecimientos de audioprótesis;;
EA00927;Farmacia Hermanos Otero Fernández, C.B.;Calle De Alameda Del Valle, Nº 23  28051, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00928;Óptica Gasset;Calle De José Ortega Y Gasset, Nº 96  28006, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00929;Audiologia Urquijo S.L.;Calle Del Marqués De Urquijo, Nº 25  28008, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00930;Nacarvision, S.L.;Avenida Del Infante Don Luis, Nº 10-11  28660, Boadilla Del Monte (Madrid);Establecimientos de audioprótesis;;
EA00931;Visiondaganzo, S.L.L.;Calle De La Constitución, Nº 2  28814, Daganzo De Arriba (Madrid);Establecimientos de audioprótesis;;
EA00932;Audio Selección, S.L.;Calle De Leganés, Nº 5  28945, Fuenlabrada (Madrid);Establecimientos de audioprótesis;;
EA00933;Optoteka, S.L.;Paseo De Las Acacias, Nº 30  28005, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00934;Optica Look And Life, S.L.;Calle Los Lirios, Nº 2  28925, Alcorcón (Madrid);Establecimientos de audioprótesis;;
EA00935;Disalud Optica Y Audiologia S.L.;Calle De Valdeamor, Nº 34  28110, Algete (Madrid);Establecimientos de audioprótesis;;
EA00936;Óptica Orgaz;Calle De La Doctora, Nº 12  28600, Navalcarnero (Madrid);Establecimientos de audioprótesis;;
EA00937;Óptica Del Penedes, S.L.;Calle De Bravo Murillo, Nº 120  28020, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00938;Farmacia Carlos Martínez Vélez;Calle De La Rioja, Nº 17  28042, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00939;General Optica, S.A.;Calle De Alcalá, Nº 413  28027, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00940;Amplifon Iberica, S.A.;Calle De Emilio Ferrari, Nº 64  28017, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00941;Grandvision Spain Grupo Optico, S.Au.;Avenida Pablo Iglesias, Nº 22-25, Piso/Puerta L-73  28942, Fuenlabrada (Madrid);Establecimientos de audioprótesis;;
EA00943;Opticasmenta, S.L.;Calle De José Antonio, Nº 46  28660, Boadilla Del Monte (Madrid);Establecimientos de audioprótesis;;
EA00944;Visionlab, S.A.;Calle Del Príncipe De Vergara, Nº 258  28016, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00945;José Luis De Las Heras Ópticos S.L.;Calle Ferrocarril, Nº 3  28901, Getafe (Madrid);Establecimientos de audioprótesis;;
EA00946;Otomedical, C.B.;Calle De Torre Arias, Nº 28  28022, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00947;Cas Audiologia, S.L.;Calle De Bravo Murillo, Nº 328, Piso/Puerta DCH  28020, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00948;Centro Auditivo Europeo, S.L.;Calle De La Constitución, Nº 20  28100, Alcobendas (Madrid);Establecimientos de audioprótesis;;
EA00949;Audio Seleccion, S.L.;Calle Mayor, Nº 86  28801, Alcalá De Henares (Madrid);Establecimientos de audioprótesis;;
EA00950;Mª De La Sierra Solis Calbacho;Calle De Gonzalo De Céspedes, Nº 2  28042, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00951;Audio Selección, S.L.;Calle De Narváez, Nº 25  28009, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00952;Opticalia Zarzaquemada;Calle Bureba, Nº 35  28915, Leganés (Madrid);Establecimientos de audioprótesis;;
EA00953;Siema Blink, S.L.;Calle De La Oca, Nº 90, Piso/Puerta local  28025, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00954;Optica Del Penedes, S.L.;Calle De Goya, Nº 18  28001, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00955;Centro Optico Alfa, S.L.;Calle De Raimundo Lulio, Nº 22  28010, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00957;Optica Roma,S.L.;Calle De Caleruega, Nº 39  28033, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00958;Centro Óptico Y Auditivo Collado Mediano;Calle Real, Nº 4  28450, Collado Mediano (Madrid);Establecimientos de audioprótesis;;
EA00959;Visionlab, S.A.;Calle Libreros, Nº 40  28801, Alcalá De Henares (Madrid);Establecimientos de audioprótesis;;
EA00960;Amplifon Iberica ,S.A.;Calle De Toledo, Nº 76  28005, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00963;Salud Auditiva Getafe, S.L.U.;Calle Madrid, Nº 98  28902, Getafe (Madrid);Establecimientos de audioprótesis;;
EA00964;Ana Begoña Zubiaurre Sangil;Calle De Guzmán El Bueno, Nº 83  28015, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00965;Castilladecor Proyectos E Instalaciones, S.L.;Calle Del Camino De Los Vinateros, Nº s/n, Piso/Puerta local 22-23  28030, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00966;Widex Audifonos, S.A.;Calle De La Princesa, Nº 81  28008, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00967;Widex Audifonos, S.A.;Plaza De La República Dominicana, Nº 7-9  28016, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00968;Ulloa Óptico Oftalmología, S.A.;Calle De Serrano, Nº 92  28006, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00969;Audicas Moratalaz, S.L.;Avenida De Moratalaz, Nº 135  28030, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00970;Grandvision Spain Grupo Óptico S.A.U.;Plaza De La Puerta Del Sol, Nº 14  28013, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00972;Ornela Esther Neimon;Calle Del General Díaz Porlier, Nº 95  28006, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00973;Azul Y Rojo Opticas, S.L.;Avenida De Guadalajara, Nº 2, Piso/Puerta lLocal B32  28032, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00974;New Vision;Calle Pinto, Nº 39  28982, Parla (Madrid);Establecimientos de audioprótesis;;
EA00975;Balanzat Y Barral S.L.;Avenida De Nuestra Señora De Fátima, Nº 1  28047, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00976;José M De La Riva Grandal;Calle De Alcalá, Nº 172  28028, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00977;Falaktangis, S.L.;Calle Puerto De Navacerrada, Nº 23.5, Piso/Puerta Km  28939, Arroyomolinos (Madrid);Establecimientos de audioprótesis;;
EA00978;Sendino Opticos S.L.;Calle De Lorenzo Niño, Nº 4  28280, Escorial, El (Madrid);Establecimientos de audioprótesis;;
EA00979;Widex Audífonos, S.A.;Avenida De La Constitución, Nº 6  28931, Móstoles (Madrid);Establecimientos de audioprótesis;;
EA00980;Centro Auditivo Sf Audio;Calle De Cartagena, Nº 61  28028, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00981;Farmacia Adela Riera Rico;Calle Del Príncipe Carlos, Nº 50  28050, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00982;Tabilton, Sl;Glorieta Del Universo, Nº 9  28341, Valdemoro (Madrid);Establecimientos de audioprótesis;;
EA00983;Optica Roma, S.L.;Avenida Europa, Nº 7  28224, Pozuelo De Alarcón (Madrid);Establecimientos de audioprótesis;;
EA00984;Aao Optico, S.A.U.;Avenida De Pablo Neruda, Nº 91, Piso/Puerta Local 19  28018, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00985;Aao Optico, S.A.U.;Carretera M-511 (Boadilla-Carabanchel), Nº Km 1  28224, Pozuelo De Alarcón (Madrid);Establecimientos de audioprótesis;;
EA00986;Optica 21, S.L.;Carretera Ajalvir, Nº km., Piso/Puerta 5,6-6-5  28850, Torrejón De Ardoz (Madrid);Establecimientos de audioprótesis;;
EA00987;Costco Wholesale Spain, S.L.U.;Carretera De La Coruña, Nº 1  28231, Rozas De Madrid, Las (Madrid);Establecimientos de audioprótesis;;
EA00988;Marco Vision, S.L.;Calle De Hilarión Eslava, Nº 17  28015, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00989;Aao Optico, S.A.U.;Calle De La Reina Mercedes, Nº 23  28020, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00990;Aao Optico S.A.U.;Calle De José Ortega Y Gasset, Nº 52  28006, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00991;Clinica Dos De Mayo, Sociedad Limitada;Avenida Del Dos De Mayo, Nº 23  28934, Móstoles (Madrid);Establecimientos de audioprótesis;;
EA00992;Audicost, S.L.;Carretera De Canillas, Nº 134  28043, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00993;Aao Optico, S.A.U.;Calle De La Calderilla, Nº 1, Piso/Puerta PLTA PB, Pta 44  28054, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00994;Audicas 2020, S.L.;Paseo De Extremadura, Nº 94  28011, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00995;Aao Optico, S.A.U.;Avenida Del Dos De Mayo, Nº 28  28934, Móstoles (Madrid);Establecimientos de audioprótesis;;
EA00996;Aao Optico, S.A.U.;Calle De Los Químicos, Nº 2, Piso/Puerta L. A074B  28220, Majadahonda (Madrid);Establecimientos de audioprótesis;;
EA00997;Valvisiondama, S.L.;Calle Real De Arganda, Nº 17  28031, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00998;Erica Maria Alba Serrano;Calle Real, Nº 21  28400, Collado Villalba (Madrid);Establecimientos de audioprótesis;;
EA00999;Optica Aqua;Calle De Villalobos, Nº 20  28018, Madrid (Madrid);Establecimientos de audioprótesis;;
EA01000;Belle Occhi, S.L.;Calle De Hortaleza, Nº s/n  28043, Madrid (Madrid);Establecimientos de audioprótesis;;
EA01001;Innovacare ,S.L.;Calle San Felipe, Nº 2  28850, Torrejón De Ardoz (Madrid);Establecimientos de audioprótesis;;
EA01002;Servicios Opticos Dhaf, S.L.L.;Calle De Valmojado, Nº 287, Piso/Puerta Post  28047, Madrid (Madrid);Establecimientos de audioprótesis;;
EA01003;Josué Beltran River;Avenida República Argentina, Nº 29  28950, Moraleja De Enmedio (Madrid);Establecimientos de audioprótesis;;
EA01004;General Optica, S.A;Calle De Aracne, Nº s/n, Piso/Puerta Local 011  28022, Madrid (Madrid);Establecimientos de audioprótesis;;
EA01005;Luis Ignacio García Guerra;Calle De Fermín Caballero, Nº 76  28034, Madrid (Madrid);Establecimientos de audioprótesis;;
EA01006;Kima Todovision, S.L.;Paseo De La Tierra De Melide, Nº 21  28050, Madrid (Madrid);Establecimientos de audioprótesis;;
EA01008;Widex Audífonos, S.A.;Calle De López De Hoyos, Nº 124  28002, Madrid (Madrid);Establecimientos de audioprótesis;;
EA01009;Grandvision Spain Grupo Optico, S.A.U.;Avenida De La Tejera, Nº 2  28770, Colmenar Viejo (Madrid);Establecimientos de audioprótesis;;
EA01010;Opticas De Jauregui, S.L.;Calle Oslo, Nº 2  28922, Alcorcón (Madrid);Establecimientos de audioprótesis;;
EA01011;Trm Opticos, S.L.;Calle Rincón De Las Eras, Nº 1  28400, Collado Villalba (Madrid);Establecimientos de audioprótesis;;
EA01012;Optica Y Audiologia Universitaria;Calle De Fuencarral, Nº 142  28010, Madrid (Madrid);Establecimientos de audioprótesis;;
EA01013;Farmacia Ana María Rueda Sánchez;Calle Portugal, Nº 44  28943, Fuenlabrada (Madrid);Establecimientos de audioprótesis;;
EA01014;Widex Audífonos, S.A.;Calle De Alcalá, Nº 388  28027, Madrid (Madrid);Establecimientos de audioprótesis;;
EA01015;Audio Selección, S.L.;Calle De Bravo Murillo, Nº 70  28003, Madrid (Madrid);Establecimientos de audioprótesis;;
EA01016;Romero Garcia, Jose Miguel Y Almudena, C.B.;Calle Granada, Nº 3  28903, Getafe (Madrid);Establecimientos de audioprótesis;;
EA01018;Belio Centro Auditivo;Calle De Bolivia, Nº 14  28016, Madrid (Madrid);Establecimientos de audioprótesis;;
EA01019;Juan José López González (Belio Centro Auditivo);Calle De Alonso Cano, Nº 50  28003, Madrid (Madrid);Establecimientos de audioprótesis;;
EA01020;Martin Y Encabo Vision Sl;Calle De Oliva De Plasencia, Nº 1  28044, Madrid (Madrid);Establecimientos de audioprótesis;;
EA01021;Biacustic;Paseo De Arroyomolinos, Nº 5  28938, Móstoles (Madrid);Establecimientos de audioprótesis;;
EA01022;Barlu Visual 23 S.L.;Carretera Villar Del Olmo, Nº 43  28510, Campo Real (Madrid);Establecimientos de audioprótesis;;
EA01023;Orquinyvidal;Calle De Juan Bravo, Nº 61  28006, Madrid (Madrid);Establecimientos de audioprótesis;;
EA01024;Olga García Aguado;Paseo De La Chopera, Nº 71  28045, Madrid (Madrid);Establecimientos de audioprótesis;;
EA01025;Otoaudio Integral, S.L.;Calle De Zurbarán, Nº 17  28010, Madrid (Madrid);Establecimientos de audioprótesis;;
EA01026;Optica Roma, S.L.;Paseo De La Castellana, Nº 148  28046, Madrid (Madrid);Establecimientos de audioprótesis;;
EA01027;Otoaudio Integral, S.L. Otoaudio Moncloa;Avenida De Valladolid, Nº 81  28008, Madrid (Madrid);Establecimientos de audioprótesis;;
EA01028;Farmacia Cidoncha;Calle De Ramón Gómez De La Serna, Nº 62  28035, Madrid (Madrid);Establecimientos de audioprótesis;;
EA01029;Balanzat Y Barral S.L.;Calle De López De Hoyos, Nº 97  28002, Madrid (Madrid);Establecimientos de audioprótesis;;
EA01030;Optica Principal;Calle Del Príncipe De Vergara, Nº 133  28002, Madrid (Madrid);Establecimientos de audioprótesis;;
EA01031;General Óptica, S.A.;Calle De Adolfo Bioy Casares, Nº 2, Piso/Puerta L36 CC LA GAVIA  28051, Madrid (Madrid);Establecimientos de audioprótesis;;
EA01032;Eye Planet Opticos S.L.;Avenida Del Infante Don Luis, Nº 10  28660, Boadilla Del Monte (Madrid);Establecimientos de audioprótesis;;
EA01033;Aao Optico S.A.U;Calle De Leganés, Nº 15  28945, Fuenlabrada (Madrid);Establecimientos de audioprótesis;;
EA01036;Med-El Sucursal España;Ronda De Poniente, Nº 2  28760, Tres Cantos (Madrid);Establecimientos de audioprótesis;;
EA01037;Daniel Alonso Rodriguez;Calle Mayor, Nº 6  28921, Alcorcón (Madrid);Establecimientos de audioprótesis;;
EA01038;Arges Opticos S. L.;Calle Joaquín Costa, Nº 6  28200, San Lorenzo De El Escorial (Madrid);Establecimientos de audioprótesis;;
EA01039;Innovalent C.B.;Calle De Atocha, Nº 41  28012, Madrid (Madrid);Establecimientos de audioprótesis;;
EA01040;Escorioptica S.L.;Calle Las Pozas, Nº 181  28200, San Lorenzo De El Escorial (Madrid);Establecimientos de audioprótesis;;
EA01041;Centro Auditivo Alcala De Henares;Calle Mayor, Nº 30  28801, Alcalá De Henares (Madrid);Establecimientos de audioprótesis;;
EA01042;Optica Del Penedes, S.L.;Calle De Cea Bermúdez, Nº 70  28003, Madrid (Madrid);Establecimientos de audioprótesis;;
EA01043;Optica Del Pendedes, S.L.;Calle Del Príncipe De Vergara, Nº 267  28016, Madrid (Madrid);Establecimientos de audioprótesis;;
EA01044;Visión Óptica, Sl;Avenida De España, Nº 28  28903, Getafe (Madrid);Establecimientos de audioprótesis;;
EA01045;Sandro Cannarile Garcia;Calle Monte Albillo, Nº 1  28110, Algete (Madrid);Establecimientos de audioprótesis;;
EA01046;Audicost, S.L.;Calle De Costa Rica, Nº 7  28016, Madrid (Madrid);Establecimientos de audioprótesis;;
EA01047;Riera Salus Sl;Calle Del Concejal Victorino Granizo, Nº 71  28052, Madrid (Madrid);Establecimientos de audioprótesis;;
EA01048;Optica Jimenez Centro Auditivo;Calle De Suiza, Nº 6  28943, Fuenlabrada (Madrid);Establecimientos de audioprótesis;;
EA01049;Audio Sanus, S.L;Calle De Bulgaria, Nº 2  28032, Madrid (Madrid);Establecimientos de audioprótesis;;
EA01050;Multiopticas Betterwithus Sll;Calle De Marcelo Usera, Nº 127  28026, Madrid (Madrid);Establecimientos de audioprótesis;;
EA01051;Endor Visión S.L.;Avenida De Juan Carlos I, Nº S/N, Piso/Puerta  LOCAL B 45  28905, Getafe (Madrid);Establecimientos de audioprótesis;;
EA01052;Herranz Vision Sl;Calle Portugal, Nº 33  28943, Fuenlabrada (Madrid);Establecimientos de audioprótesis;;
EA01053;Manuela Pozo Sl;Calle De Santa Marta, Nº 19  28038, Madrid (Madrid);Establecimientos de audioprótesis;;
EA01054;Audio Selección, S.L.;Avenida De Monforte De Lemos, Nº 105  28029, Madrid (Madrid);Establecimientos de audioprótesis;;
EA01055;Optica Y Audifonos Sociales, S.L.;Calle De La Oca, Nº 99  28025, Madrid (Madrid);Establecimientos de audioprótesis;;
EA01056;Opticas Origin Sl;Avenida De Juan Carlos I, Nº 3, Piso/Puerta LOCAL 6, 7 Y 9  28905, Getafe (Madrid);Establecimientos de audioprótesis;;
EA01057;Opticas Carrieremioptico Vaguada;Avenida De Monforte De Lemos, Nº 36  28029, Madrid (Madrid);Establecimientos de audioprótesis;;
EA01058;Opticas Carrieremioptico Alcobendas;Carretera Nacional I (Variante Alcobendas), Nº 14  28108, Alcobendas (Madrid);Establecimientos de audioprótesis;;
EA01059;Vista Actual Mioptico Campamento;Avenida Del Padre Piquer, Nº 9  28024, Madrid (Madrid);Establecimientos de audioprótesis;;
EA01060;Centro Clínico Audiológico Oírtplus, Sl;Bulevar De José Prat, Nº 25  28032, Madrid (Madrid);Establecimientos de audioprótesis;;
